Country ID,Country,"Time series - Total N2O emissions, in 1000 tonnes of CO2 equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N2O emissions, latest year",% change since 1990,"N2O emissions 
per capita, 
latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 tonnes of 
CO2 equivalent",%,kg
492,Monaco,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2018,0.01,38.87,0.000
496,Mongolia,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,...,...,...,...,...,...,...,458.80,...,...,...,...,...,...,...,...,...,...,...,...,2006,458.80,"1,380.00",0.179
499,Montenegro,382.85,385.95,362.70,342.55,341.00,347.20,353.71,341.62,330.46,324.26,316.20,300.70,294.50,310.00,306.90,244.90,243.35,226.30,229.40,202.12,226.30,223.82,...,...,...,...,...,...,...,2011,223.82,-41.54,0.358
504,Morocco,...,...,...,...,"8,680.00",...,...,...,...,...,"17,062.40",...,...,...,...,...,...,...,...,...,"29,556.98",...,"17,552.20",...,...,...,...,...,...,2012,"17,552.20",...,0.528
508,Mozambique,716.10,...,...,...,981.15,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,981.15,37.01,0.066
104,Myanmar,...,...,...,...,...,...,...,...,...,...,"2,690.99","2,780.89","2,839.79","2,957.62","3,094.02","3,311.02",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,"3,311.02",...,0.068
516,Namibia,...,...,...,...,229.40,...,...,...,...,...,310.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,310.00,...,0.173
520,Nauru,...,...,...,...,0.31,...,...,...,...,...,0.60,...,...,0.68,...,...,...,0.35,...,...,0.44,...,...,...,...,...,...,...,...,2010,0.44,...,0.044
524,Nepal,...,...,...,...,"9,641.00",...,...,...,...,...,"9,470.50",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"9,470.50",...,0.396
528,Netherlands,60.51,61.09,61.94,62.86,61.24,60.94,61.09,60.21,58.27,55.95,54.18,50.88,48.17,47.76,49.26,48.96,48.81,43.27,30.61,29.94,28.96,28.23,27.69,28.29,28.72,29.56,28.45,29.05,28.02,2018,28.02,-53.70,0.002
554,New Zealand,16.53,16.80,16.92,17.63,18.41,19.23,19.46,19.76,19.57,19.68,20.73,21.99,22.90,23.50,23.65,23.79,23.56,22.72,22.70,22.38,23.07,23.69,24.19,24.26,24.74,25.00,25.06,25.16,25.48,2018,25.48,54.10,0.005
558,Nicaragua,...,...,...,...,793.60,...,...,...,...,...,"3,871.13",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"3,871.13",...,0.764
562,Niger,817.56,...,...,...,...,...,...,...,...,...,"4,960.00",...,...,...,...,...,...,...,"2,170.00",...,...,...,...,...,...,...,...,...,...,2008,"2,170.00",165.42,0.142
566,Nigeria,...,...,...,...,"3,655.29",...,...,...,...,...,"7,440.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"7,440.00",...,0.061
570,Niue,...,...,...,...,0.01,...,...,...,...,...,0.02,...,...,...,...,0.02,0.03,0.05,0.02,0.02,...,...,...,...,...,...,...,...,...,2009,0.02,...,0.012
807,North Macedonia,"1,251.73","1,218.50","1,219.15","1,195.11","1,325.94","1,173.34","1,057.00",969.98,936.33,844.82,860.49,796.96,568.57,"1,219.01","1,262.41","1,091.91","1,160.11","1,039.21",946.22,905.97,...,...,...,...,...,...,...,...,...,2009,905.97,-27.62,0.438
578,Norway,13.80,13.27,11.48,12.15,12.38,12.47,12.53,12.50,12.80,13.52,12.84,12.60,13.42,12.92,13.41,13.64,12.52,11.93,10.45,8.60,8.30,8.29,8.30,8.21,8.24,8.36,8.13,7.99,7.88,2018,7.88,-42.88,0.001
512,Oman,...,...,...,...,"7,087.22",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,"7,087.22",...,3.299
585,Palau,...,...,...,...,6.76,6.26,6.26,6.26,6.26,6.26,10.20,...,...,...,...,10.08,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,10.08,...,0.509
591,Panama,...,...,...,...,"2,793.10",...,...,...,...,...,"1,382.60",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"1,382.60",...,0.456
598,Papua New Guinea,...,...,...,...,"3,782.00",...,...,...,...,...,"4,617.76",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"4,617.76",...,0.790
600,Paraguay,"37,003.78",...,...,...,"9,473.60",...,...,...,...,...,"8,308.00",...,...,...,...,"13,877.15",...,...,...,...,...,"19,895.80","20,292.60",...,...,...,...,...,...,2012,"20,292.60",-45.16,3.160
604,Peru,...,...,...,...,"13,531.50",...,...,...,...,...,"11,119.00",...,...,...,...,...,...,...,...,...,"13,784.06",...,"14,197.00",...,...,...,...,...,...,2012,"14,197.00",...,0.481
608,Philippines,...,...,...,...,"14,002.70",...,...,...,...,...,"12,378.30",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"12,378.30",...,0.159
616,Poland,95.96,81.48,75.73,79.17,79.19,82.60,82.49,82.77,82.43,80.68,81.35,82.52,77.69,76.71,78.84,79.66,81.13,83.92,82.42,71.60,70.18,71.29,71.58,72.13,70.62,68.18,70.39,73.72,74.18,2018,74.18,-22.69,0.002
620,Portugal,13.04,12.91,12.79,12.50,12.45,12.99,13.64,13.80,13.88,14.24,14.89,14.45,14.11,12.95,13.49,12.91,12.46,13.03,12.72,11.69,11.61,10.73,10.78,10.82,11.23,10.87,10.62,10.91,10.79,2018,10.79,-17.21,0.001
634,Qatar,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,451.67,...,...,...,...,...,...,...,...,...,...,...,2007,451.67,...,0.371
410,Republic of Korea,"9,154.61","9,672.00","12,291.50","12,818.50","13,677.20","14,728.10","15,769.70","16,761.70","17,025.20","17,539.80","18,342.70","18,525.60","18,355.10","21,758.90","24,285.40","22,862.50","22,158.80","13,078.90","12,514.70","12,945.60","13,615.20","13,370.30","13,943.80","14,148.40","13,878.70","14,322.00","14,830.40",...,...,2016,"14,830.40",62.00,0.291
498,Republic of Moldova,"3,212.81","2,973.80","2,364.40","2,330.58","1,801.44","1,915.92","1,790.31","1,923.89","1,722.52","1,564.12","1,415.07","1,566.28","1,610.00","1,388.19","1,636.99","1,647.68","1,579.67",983.51,"1,605.30","1,385.61","1,581.37","1,608.03","1,190.09","1,674.28",...,...,...,...,...,2013,"1,674.28",-47.89,0.411
642,Romania,53.29,37.55,37.61,39.85,37.08,39.39,37.67,36.57,32.50,30.64,32.26,31.77,29.30,31.65,35.93,35.40,31.54,31.53,27.52,25.38,26.15,27.31,24.94,25.51,24.57,25.00,25.21,26.35,28.92,2018,28.92,-45.74,0.001
643,Russian Federation,490.08,456.68,414.44,378.33,331.09,305.81,286.92,278.06,252.49,247.05,253.84,254.84,256.87,250.59,248.43,246.99,247.00,253.03,262.10,262.18,251.68,265.50,257.48,262.89,266.35,272.30,283.93,289.44,288.36,2018,288.36,-41.16,0.002
646,Rwanda,...,...,...,...,...,...,...,...,...,...,...,...,807.53,...,...,"4,139.96",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,"4,139.96",...,0.468
659,Saint Kitts and Nevis,...,...,...,...,34.10,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,34.10,...,0.819
662,Saint Lucia,...,...,...,...,22.05,...,...,...,...,...,32.21,...,...,...,...,28.43,...,...,...,...,32.67,...,...,...,...,...,...,...,...,2010,32.67,...,0.188
670,Saint Vincent and the Grenadines,248.56,...,...,...,222.21,...,...,239.20,...,...,48.67,...,...,...,59.83,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,59.83,-75.93,0.551
882,Samoa,...,...,...,...,389.25,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,389.25,...,2.308
674,San Marino,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.86,...,...,1.75,...,...,...,...,...,...,...,...,2010,1.75,...,0.056
678,Sao Tome and Principe,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,22.33,...,...,...,...,...,...,2012,22.33,...,0.119
682,Saudi Arabia,"10,476.48",...,...,...,...,...,...,...,...,...,"11,788.06",...,...,...,...,...,...,...,...,...,"10,684.62",...,"12,049.70",...,...,...,...,...,...,2012,"12,049.70",15.02,0.413
686,Senegal,...,...,...,...,...,...,...,...,...,...,"3,617.70",...,...,...,...,"1,745.30",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,"1,745.30",...,0.157
688,Serbia,"8,751.30",...,...,...,...,...,...,...,"6,823.10",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1998,"6,823.10",-22.03,0.704
690,Seychelles,...,...,...,...,...,23.25,...,...,...,...,11.86,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,11.86,...,0.146
702,Singapore,...,...,...,...,58.90,...,...,...,...,...,334.87,...,...,...,...,...,...,...,...,...,438.62,...,411.67,...,...,...,...,...,...,2012,411.67,...,0.077
703,Slovakia,14.48,11.38,9.31,7.75,9.29,9.73,10.35,10.34,9.31,7.84,8.56,9.46,9.25,9.20,10.00,9.80,10.55,10.11,9.95,8.85,8.20,6.99,6.74,6.69,7.10,6.91,7.15,6.77,7.04,2018,7.04,-51.35,0.001
705,Slovenia,2.53,2.35,2.56,2.44,2.62,2.78,2.89,2.94,2.94,2.92,3.03,2.99,2.75,2.65,2.58,2.59,2.63,2.65,2.52,2.50,2.47,2.51,2.52,2.42,2.45,2.53,2.55,2.47,2.53,2018,2.53,-0.12,0.001
90,Solomon Islands,...,...,...,...,...,...,...,...,...,...,29.44,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,29.44,...,0.071
710,South Africa,"23,302.70",...,...,...,"20,673.90",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,"20,673.90",-11.28,0.510
728,South Sudan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"15,213.22","15,284.55","15,419.04","15,429.48",...,...,...,2015,"15,429.48",...,1.440
724,Spain,61.38,59.23,57.58,53.62,58.96,58.45,65.83,64.53,66.51,69.85,73.18,69.84,67.19,71.27,68.81,66.39,66.36,66.90,60.54,59.97,61.07,57.80,55.55,57.93,60.12,60.87,60.06,62.18,61.79,2018,61.79,0.66,0.001
144,Sri Lanka,...,...,...,"7,440.00","7,827.57","7,440.00",...,...,...,...,"1,072.29",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"1,072.29",...,0.057
275,State of Palestine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,523.53,...,...,...,...,...,...,...,2011,523.53,...,0.126
729,Sudan,...,...,...,...,...,"9,920.00",...,...,...,...,"17,670.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"17,670.00",...,0.648
752,Sweden,19.26,18.85,18.34,19.04,19.15,18.74,18.78,18.79,18.92,18.19,17.90,17.49,17.09,16.98,17.01,16.65,16.46,15.92,16.19,15.62,16.19,15.17,15.04,15.18,15.36,15.43,15.36,15.96,15.11,2018,15.11,-21.54,0.002
756,Switzerland,11.16,11.12,10.94,11.25,11.08,11.18,10.94,10.87,10.65,10.55,11.10,10.90,10.99,10.33,10.08,10.46,10.10,10.42,10.00,9.63,10.11,9.87,10.07,9.74,9.67,9.77,9.69,10.34,9.66,2018,9.66,-13.44,0.001
762,Tajikistan,"2,790.00","3,100.00","2,790.00","2,790.00","2,480.00","2,170.00","2,170.00","2,170.00","2,170.00","1,860.00","1,860.00","1,860.00","2,170.00","2,170.00","2,480.00","2,480.00","2,170.00","2,170.00","1,860.00","2,790.00","2,790.00",...,...,...,...,...,...,...,...,2010,"2,790.00",...,0.371
764,Thailand,...,...,...,...,"17,190.12",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"17,118.20",...,...,...,...,...,2013,"17,118.20",...,0.251
626,Timor-Leste,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,467.18,...,...,...,...,...,...,...,...,2010,467.18,...,0.427
768,Togo,...,...,"2,638.10","3,258.10","2,762.10","2,783.21","3,568.10","3,695.20","3,757.20",...,"2,346.70",...,...,...,...,"2,895.40",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,"2,895.40",...,0.516
776,Tonga,...,...,...,...,43.40,...,...,...,...,...,55.80,...,...,...,...,...,42.78,...,...,...,...,...,...,...,...,...,...,...,...,2006,42.78,...,0.421
780,Trinidad and Tobago,332.63,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1990,332.63,...,0.272
788,Tunisia,...,...,...,...,"4,261.11",...,...,...,...,...,"5,760.73",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"5,760.73",...,0.593
792,Turkey,83.32,82.64,84.35,87.04,78.73,79.68,81.99,80.25,84.74,85.74,82.82,77.80,77.68,82.84,84.60,87.45,94.46,91.93,87.02,94.81,99.34,102.93,106.75,113.51,115.03,117.54,125.52,130.34,130.62,2018,130.62,56.77,0.002
795,Turkmenistan,...,...,...,...,909.01,...,...,...,...,...,"1,392.68",...,...,...,"1,780.92",...,...,...,...,...,"1,643.08",...,...,...,...,...,...,...,...,2010,"1,643.08",...,0.323
798,Tuvalu,...,...,...,...,0.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5.00,...,...,...,...,2014,5.00,...,0.455
800,Uganda,...,...,...,...,"14,164.83",...,...,...,...,...,"16,724.50",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"16,724.50",...,0.707
804,Ukraine,179.31,161.98,150.06,140.67,120.79,110.13,95.48,98.04,87.06,79.80,79.80,84.20,85.71,76.65,84.98,86.04,87.22,85.94,103.32,89.89,91.85,111.86,106.99,118.78,118.44,110.73,121.78,116.96,129.69,2018,129.69,-27.67,0.003
784,United Arab Emirates,...,...,...,...,"55,118.00",...,...,...,...,...,"6,169.00",...,...,...,...,"6,138.00",...,...,...,...,...,...,...,...,449.82,...,...,...,...,2014,449.82,...,0.049
826,United Kingdom of Great Britain and Northern Ireland,155.07,155.80,139.32,125.11,127.25,123.02,122.99,123.84,123.71,91.75,89.55,84.44,78.97,77.55,79.37,76.33,72.51,72.68,70.53,65.66,66.80,64.16,63.70,63.47,65.46,63.80,63.56,64.79,64.46,2018,64.46,-58.43,0.001
834,United Republic of Tanzania,"15,082.65",...,...,...,"14,376.25",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,"14,376.25",-4.68,0.499
840,United States of America,"1,458.47","1,425.60","1,423.99","1,518.02","1,468.32","1,507.58","1,546.50","1,498.87","1,499.96","1,464.43","1,420.50","1,471.55","1,465.26","1,466.93","1,498.98","1,451.79","1,438.64","1,476.28","1,421.63","1,417.66","1,447.73","1,415.62","1,316.32","1,473.74","1,507.60","1,489.33","1,429.76","1,413.62","1,458.15",2018,"1,458.15",-0.02,0.004
858,Uruguay,"7,254.00",...,...,...,"7,812.00",...,...,...,"10,594.47",...,"7,507.89",...,"10,217.57",...,"8,282.58",...,"11,545.14",...,"11,873.93",...,"8,466.72",...,"9,768.10",...,"9,202.07",...,"8,575.65","8,823.53",...,2017,"8,823.53",21.64,2.567
860,Uzbekistan,"12,840.80","13,354.70","13,329.70","12,747.60","11,991.10","11,428.40","11,331.20","11,132.00","11,195.40","10,858.40","10,682.20","10,350.90","10,594.10","10,428.80","10,438.10","9,421.20","9,068.80","9,118.80","9,539.30","9,989.20","10,479.60","10,966.90","11,203.70",...,...,...,...,...,...,2012,"11,203.70",-12.75,0.380
548,Vanuatu,...,...,...,...,9.02,...,...,...,...,...,179.80,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,179.80,...,0.972
862,Venezuela (Bolivarian Republic of),...,...,...,...,...,...,...,...,...,"16,144.80",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1999,"16,144.80",...,0.680
704,Viet Nam,...,...,...,...,"10,177.30",...,...,...,...,...,"16,389.70",...,...,...,...,...,...,...,...,...,"32,696.29",...,...,"34,645.60",...,...,...,...,...,2013,"34,645.60",...,0.382
887,Yemen,...,...,...,...,...,"4,660.85",...,...,...,...,"3,769.60",...,...,...,...,...,...,...,...,...,"4,789.50",...,"6,916.10",...,...,...,...,...,...,2012,"6,916.10",...,0.283
894,Zambia,...,...,...,...,"19,470.08",...,...,...,...,...,"5,328.71",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"5,328.71",...,0.512
716,Zimbabwe,...,...,...,...,"2,982.25",...,...,...,...,...,"36,195.60",...,...,...,...,...,"4,825.77",...,...,...,...,...,...,...,...,...,...,...,...,2006,"4,825.77",...,0.397
